character,gender,decade,ratio,pinyin,x_order,decades
英,f,1930–1959,138.05,Ying1,1,"1930–1959, 1960s, 1970s, 1980s"
秀,f,1930–1959,106.02,Xiu4,2,"1930–1959, 1960s, 1970s, 1980s"
兰,f,1930–1959,90.63,Lan2,3,"1930–1959, 1960s, 1970s, 1980s"
玉,f,1930–1959,72.94,Yu4,4,"1930–1959, 1960s, 1970s, 1980s, 1990s, 2000s"
珍,f,1930–1959,70.37,Zhen1,5,"1930–1959, 1960s, 1970s"
桂,f,1930–1959,60.35,Gui4,6,"1930–1959, 1960s"
凤,f,1930–1959,44.54,Feng4,1,"1930–1959, 1960s, 1970s, 1980s"
淑,f,1930–1959,41.82,Shu1,2,1930–1959
芳,f,1930–1959,41.7,Fang1,3,"1930–1959, 1960s, 1970s, 1980s, 1990s"
华,f,1930–1959,38.03,Hua2,4,"1930–1959, 1960s, 1970s, 1980s"
香,f,1930–1959,36.81,Xiang1,5,"1930–1959, 1960s"
荣,f,1930–1959,34.54,Rong2,6,1930–1959
梅,f,1930–1959,33.66,Mei2,1,"1930–1959, 1960s, 1970s, 1980s, 1990s"
云,f,1930–1959,32.39,Yun2,2,"1930–1959, 1960s, 1970s"
花,f,1930–1959,31.02,Hua1,3,"1930–1959, 1960s, 1970s"
美,f,1930–1959,28.33,Mei3,4,"1930–1959, 1960s, 1970s"
金,f,1930–1959,27.45,Jin1,5,1930–1959
芬,f,1930–1959,24.43,Fen1,6,1930–1959
素,f,1930–1959,23.79,Su4,1,1930–1959
芝,f,1930–1959,23.13,Zhi1,2,1930–1959
英,f,1960s,106.26,Ying1,3,"1930–1959, 1960s, 1970s, 1980s"
秀,f,1960s,85.95,Xiu4,4,"1930–1959, 1960s, 1970s, 1980s"
玉,f,1960s,68.24,Yu4,5,"1930–1959, 1960s, 1970s, 1980s, 1990s, 2000s"
兰,f,1960s,67.27,Lan2,6,"1930–1959, 1960s, 1970s, 1980s"
华,f,1960s,56.38,Hua2,1,"1930–1959, 1960s, 1970s, 1980s"
梅,f,1960s,56.24,Mei2,2,"1930–1959, 1960s, 1970s, 1980s, 1990s"
凤,f,1960s,49.32,Feng4,3,"1930–1959, 1960s, 1970s, 1980s"
珍,f,1960s,47.84,Zhen1,4,"1930–1959, 1960s, 1970s"
芳,f,1960s,45.38,Fang1,5,"1930–1959, 1960s, 1970s, 1980s, 1990s"
桂,f,1960s,45.2,Gui4,6,"1930–1959, 1960s"
红,f,1960s,43.89,Hong2,1,"1960s, 1970s, 1980s, 1990s"
香,f,1960s,41.06,Xiang1,2,"1930–1959, 1960s"
玲,f,1960s,37.88,Ling2,3,"1960s, 1970s, 1980s, 1990s"
丽,f,1960s,37.76,Li4,4,"1960s, 1970s, 1980s"
春,f,1960s,37.12,Chun1,5,"1930–1959, 1960s, 1970s"
云,f,1960s,36.69,Yun2,6,"1930–1959, 1960s, 1970s"
花,f,1960s,36.34,Hua1,1,"1930–1959, 1960s, 1970s"
美,f,1960s,34.74,Mei3,2,"1930–1959, 1960s, 1970s"
霞,f,1960s,33.56,Xia2,3,"1960s, 1970s, 1980s, 1990s"
小,f,1960s,32.89,Xiao3,4,"1960s, 1970s, 1980s"
英,f,1970s,83.57,Ying1,5,"1930–1959, 1960s, 1970s, 1980s"
红,f,1970s,83.06,Hong2,6,"1960s, 1970s, 1980s, 1990s"
梅,f,1970s,70.71,Mei2,1,"1930–1959, 1960s, 1970s, 1980s, 1990s"
丽,f,1970s,69.71,Li4,2,"1960s, 1970s, 1980s, 1990s, 2000s"
秀,f,1970s,60.05,Xiu4,3,"1930–1959, 1960s, 1970s, 1980s"
华,f,1970s,55.89,Hua2,4,"1930–1959, 1960s, 1970s, 1980s"
霞,f,1970s,54.92,Xia2,5,"1960s, 1970s, 1980s, 1990s"
艳,f,1970s,54.35,Yan4,6,"1970s, 1980s, 1990s"
玉,f,1970s,50.75,Yu4,1,"1930–1959, 1960s, 1970s, 1980s, 1990s, 2000s"
小,f,1970s,49.64,Xiao3,2,"1960s, 1970s, 1980s"
芳,f,1970s,47.65,Fang1,3,"1930–1959, 1960s, 1970s, 1980s, 1990s"
春,f,1970s,44.61,Chun1,4,"1960s, 1970s, 1980s"
兰,f,1970s,44,Lan2,5,"1930–1959, 1960s, 1970s, 1980s"
玲,f,1970s,42.48,Ling2,6,"1960s, 1970s, 1980s, 1990s"
凤,f,1970s,35.76,Feng4,1,"1930–1959, 1960s, 1970s, 1980s"
云,f,1970s,31.08,Yun2,2,"1930–1959, 1960s, 1970s"
珍,f,1970s,30.54,Zhen1,3,"1930–1959, 1960s, 1970s"
花,f,1970s,30.52,Hua1,4,"1930–1959, 1960s, 1970s"
燕,f,1970s,30.44,Yan4,5,"1970s, 1980s, 1990s"
美,f,1970s,30.26,Mei3,6,"1930–1959, 1960s, 1970s"
丽,f,1980s,109.06,Li4,1,"1960s, 1970s, 1980s, 1990s, 2000s"
艳,f,1980s,72.11,Yan4,2,"1970s, 1980s, 1990s"
红,f,1980s,62.86,Hong2,3,"1960s, 1970s, 1980s, 1990s"
小,f,1980s,60.83,Xiao3,4,"1960s, 1970s, 1980s"
燕,f,1980s,59.57,Yan4,5,"1970s, 1980s, 1990s"
梅,f,1980s,59.48,Mei2,6,"1930–1959, 1960s, 1970s, 1980s, 1990s"
娟,f,1980s,55.62,Juan1,1,"1980s, 1990s"
霞,f,1980s,51.88,Xia2,2,"1960s, 1970s, 1980s, 1990s"
晓,f,1980s,50.5,Xiao3,3,"1980s, 1990s, 2000s"
玲,f,1980s,50.12,Ling2,4,"1960s, 1970s, 1980s, 1990s"
芳,f,1980s,47.59,Fang1,5,"1930–1959, 1960s, 1970s, 1980s, 1990s"
英,f,1980s,45.63,Ying1,6,"1930–1959, 1960s, 1970s, 1980s"
华,f,1980s,40.51,Hua2,1,"1930–1959, 1960s, 1970s, 1980s"
春,f,1980s,40.33,Chun1,2,"1960s, 1970s, 1980s"
玉,f,1980s,38.34,Yu4,3,"1930–1959, 1960s, 1970s, 1980s, 1990s, 2000s"
秀,f,1980s,33.75,Xiu4,4,"1930–1959, 1960s, 1970s, 1980s"
凤,f,1980s,31.02,Feng4,5,"1930–1959, 1960s, 1970s, 1980s"
兰,f,1980s,30.51,Lan2,6,"1930–1959, 1960s, 1970s, 1980s"
敏,f,1980s,30.16,Min3,1,"1980s, 1990s"
娜,f,1980s,30.12,Na4,2,1980s
丽,f,1990s,96.59,Li4,3,"1960s, 1970s, 1980s, 1990s, 2000s"
晓,f,1990s,68.53,Xiao3,4,"1980s, 1990s, 2000s"
婷,f,1990s,66.68,Ting2,5,"1990s, 2000s"
艳,f,1990s,55.5,Yan4,6,"1970s, 1980s, 1990s"
小,f,1990s,54.02,Xiao3,1,"1960s, 1970s, 1980s"
玲,f,1990s,52.17,Ling2,2,"1960s, 1970s, 1980s, 1990s"
雪,f,1990s,51.68,Xue3,3,"1990s, 2000s"
燕,f,1990s,49.98,Yan4,4,"1970s, 1980s, 1990s"
梅,f,1990s,48.12,Mei2,5,"1930–1959, 1960s, 1970s, 1980s, 1990s"
玉,f,1990s,47.25,Yu4,6,"1930–1959, 1960s, 1970s, 1980s, 1990s, 2000s"
敏,f,1990s,43.37,Min3,1,"1980s, 1990s"
红,f,1990s,42.56,Hong2,2,"1960s, 1970s, 1980s, 1990s"
娟,f,1990s,42.5,Juan1,3,"1980s, 1990s"
霞,f,1990s,41.83,Xia2,4,"1960s, 1970s, 1980s, 1990s"
文,f,1990s,41.33,Wen2,5,"1990s, 2000s"
慧,f,1990s,41.31,Hui4,6,"1990s, 2000s"
芳,f,1990s,40.84,Fang1,1,"1930–1959, 1960s, 1970s, 1980s, 1990s"
静,f,1990s,39.39,Jing4,2,"1990s, 2000s"
丹,f,1990s,38.56,Dan1,3,1990s
佳,f,1990s,37.77,Jia1,4,"1990s, 2000s"
佳,f,2000s,88.37,Jia1,5,"1990s, 2000s"
雨,f,2000s,75.7,Yu3,6,2000s
欣,f,2000s,73.24,Xin1,1,2000s
婷,f,2000s,71.46,Ting2,2,"1990s, 2000s"
怡,f,2000s,68.25,Yi2,3,2000s
梦,f,2000s,51.41,Meng4,4,2000s
慧,f,2000s,50.8,Hui4,5,"1990s, 2000s"
晓,f,2000s,49.98,Xiao3,6,"1980s, 1990s, 2000s"
文,f,2000s,48.87,Wen2,1,"1990s, 2000s"
丽,f,2000s,47.96,Li4,2,"1960s, 1970s, 1980s, 1990s, 2000s"
思,f,2000s,47.84,Si1,3,2000s
雪,f,2000s,41.29,Xue3,4,"1990s, 2000s"
静,f,2000s,40.26,Jing4,5,"1990s, 2000s"
玉,f,2000s,40.15,Yu4,6,"1930–1959, 1960s, 1970s, 1980s, 1990s, 2000s"
宇,f,2000s,37.34,Yu3,1,2000s
琪,f,2000s,37.13,Qi2,2,2000s
雅,f,2000s,35.98,Ya3,3,2000s
嘉,f,2000s,33.14,Jia1,4,2000s
涵,f,2000s,31.2,Han2,5,2000s
雯,f,2000s,29.62,Wen2,6,2000s